date	mois	an	lieu	rr	etp	tempm	tempn	tempx
22/12/2011	décembre	2011	ermitage	0	5.2	26.1	22.4	30.9
23/12/2011	décembre	2011	ermitage	0	3.8	25.6	22.1	31.6
24/12/2011	décembre	2011	ermitage	0	4	25.6	21.1	30.9
26/12/2011	décembre	2011	ermitage	0	4.1	26.1	22.6	31
27/12/2011	décembre	2011	ermitage	0	4.5	25.4	21.8	31.6
28/12/2011	décembre	2011	ermitage	0	5.3	25.4	20.9	31.3
29/12/2011	décembre	2011	ermitage	0	5.7	25.7	21	32.4
31/12/2011	décembre	2011	ermitage	0	4.9	26.9	23.3	32.3
01/01/2012	janvier	2012	ermitage	3	3.9	26.2	23	32
03/01/2012	janvier	2012	ermitage	1	2.8	25.3	22.6	29.3
04/01/2012	janvier	2012	ermitage	0	3.7	25.8	22.6	31.6
05/01/2012	janvier	2012	ermitage	0	4.2	25.7	21.7	31.6
06/01/2012	janvier	2012	ermitage	0	3.6	25.8	22.8	31.7
07/01/2012	janvier	2012	ermitage	0	4.1	25.1	21	31
08/01/2012	janvier	2012	ermitage	0	4.2	25	21	31.3
09/01/2012	janvier	2012	ermitage	1	2.5	25	21.5	30
10/01/2012	janvier	2012	ermitage	11.5	2.6	24.4	20.8	29.4
11/01/2012	janvier	2012	ermitage	22	2.2	24.8	22.8	30.3
12/01/2012	janvier	2012	ermitage	0	5.8	25.9	22.2	31.4
13/01/2012	janvier	2012	ermitage	0	5.6	26.4	22.3	31.5
14/01/2012	janvier	2012	ermitage	0	5.9	26.8	22.5	32
15/01/2012	janvier	2012	ermitage	0	4.9	26.3	23.6	32.1
16/01/2012	janvier	2012	ermitage	0	3.1	24.3	20.3	30.3
17/01/2012	janvier	2012	ermitage	0	4.1	24.5	20.8	29.3
18/01/2012	janvier	2012	ermitage	0	4.3	24.8	21.1	29.4
19/01/2012	janvier	2012	ermitage	0	4	24.8	21.6	28.9
20/01/2012	janvier	2012	ermitage	20.5	3.5	24.3	21.2	30.6
21/01/2012	janvier	2012	ermitage	0	3	24.9	21.2	29.7
22/01/2012	janvier	2012	ermitage	0	3.9	24.8	21.8	29.6
