Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
13/10/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	A3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	C3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/10/2011	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	A2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	C3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/10/2011	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
09/11/2011	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	B1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13/12/2011	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20/12/2011	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27/12/2011	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
