Bloc;Traitm;Arbre;Code.arbre;UC;Annee;Position;Orientation;UCmort;BGterm;Nbinflo;NbUCfille;NbFruit;ApNAture;ApdateC;Apmort;ApdateM;Lat1NAture;Lat1dateC;Lat1mort;Lat1dateM;Lat2NAture;Lat2dateC;Lat2mort;Lat2dateM;Lat3NAture;Lat3dateC;Lat3mort;Lat3dateM;Lat4NAture;Lat4dateC;Lat4mort;Lat4dateM;Lat5NAture;Lat5dateC;Lat5mort;Lat5dateM;Lat6NAture;Lat6dateC;Lat6mort;Lat6dateM;Lat7NAture;Lat7dateC;Lat7mort;Lat7dateM;Lat8NAture;Lat8dateC;Lat8mort;Lat8dateM;Lat9NAture;Lat9dateC;Lat9mort;Lat9dateM
1;B;33;1-B-33;150;2017;L;N;0;1;0;1;0;V;08/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;151;2017;L;E;0;1;1;0;0;F;04/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;152;2017;A;E;0;1;0;1;0;V;08/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;153;2017;L;S;0;1;2;0;0;F;07/08/2018;;06/09/2018;F;18/08/2018;;06/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;154;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;155;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;156;2017;L;S;0;1;2;0;0;F;05/08/2018;;06/09/2018;F;18/08/2018;;06/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;157;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;158;2017;L;N;0;1;0;1;0;V;13/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;159;2017;L;NO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;36;1-B-36;160;2017;A;S;0;1;0;1;0;V;04/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;161;2017;A;S;0;1;1;0;0;F;19/07/2018;;06/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;162;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;163;2017;A;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;164;2017;A;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;165;2017;A;O;0;1;1;0;0;F;12/09/2018;;26/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;166;2017;A;O;0;1;0;0;0;BG;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;167;2017;A;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;38;1-B-38;168;2017;L;N;0;1;1;0;0;F;10/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;42;1-B-42;169;2017;L;SE;0;1;1;0;0;F;06/09/2018;;03/10/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
