Date;Arbre;Piege;NbInfloPiege;NbLarves;Observations
21/08/2018;41EH;A;3;0;
21/08/2018;41EH;B;5;3;
21/08/2018;45EH;A;3;2;
21/08/2018;45EH;B;2;2;Déplacé
21/08/2018;47EH;A;3;0;
21/08/2018;47EH;B;3;1;
24/08/2018;9ER;A;5;1;Attaques punaises
24/08/2018;9ER;B;3;2;
24/08/2018;11ER;A;3;NA;Ecrasé
24/08/2018;11ER;B;4;0;
24/08/2018;13ER;A;6;NA;Ecrasé + Déplacé
24/08/2018;13ER;B;10;0;Eau trouble
24/08/2018;16ER;A;4;NA;Ecrasé + Déplacé
24/08/2018;16ER;B;8;0;
24/08/2018;20ER;A;5;NA;Ecrasé + Déplacé
24/08/2018;20ER;B;5;2;
24/08/2018;23ER;A;3;0;
24/08/2018;23ER;B;2;0;
24/08/2018;24ER;A;3;2;
24/08/2018;24ER;B;4;1;
24/08/2018;25ER;A;5;0;
24/08/2018;25ER;B;1;0;Déplacé + inflo tombée
24/08/2018;34ER;A;0;0;Ecrasé
24/08/2018;34ER;B;0;0;
24/08/2018;39ER;A;4;0;
24/08/2018;39ER;B;6;0;
24/08/2018;8PS;A;2;0;Déplacé ? Bâche
24/08/2018;8PS;B;3;0;
24/08/2018;10PS;A;5;0;
24/08/2018;10PS;B;4;0;
24/08/2018;11PS;A;4;0;
24/08/2018;11PS;B;4;0;Déplacé
24/08/2018;15PS;A;5;1;
24/08/2018;15PS;B;0;0;Déplacé
24/08/2018;22PS;A;6;NA;Ecrasé
24/08/2018;22PS;B;2;0;
24/08/2018;23PS;A;2;0;
24/08/2018;23PS;B;2;0;
24/08/2018;24PS;A;3;NA;Ecrasé
24/08/2018;24PS;B;2;0;
24/08/2018;30PS;A;3;NA;Ecrasé
24/08/2018;30PS;B;3;0;
24/08/2018;33PS;A;3;1;
24/08/2018;33PS;B;3;0;Ecrasé
24/08/2018;36PS;A;2;0;
24/08/2018;36PS;B;3;0;
24/08/2018;12EH;A;3;0;
24/08/2018;12EH;B;2;0;
24/08/2018;22EH;A;2;1;
24/08/2018;22EH;B;2;0;
24/08/2018;23EH;A;3;1;Ecrasé
24/08/2018;23EH;B;3;0;
24/08/2018;24EH;A;2;0;Ecrasé
24/08/2018;24EH;B;1;1;Déplacé
24/08/2018;34EH;A;4;2;
24/08/2018;34EH;B;1;0;Déplacé
24/08/2018;35EH;A;2;0;Déplacé
24/08/2018;35EH;B;5;0;
24/08/2018;38EH;A;2;0;
24/08/2018;38EH;B;5;0;
24/08/2018;41EH;A;5;0;
24/08/2018;41EH;B;4;1;Déplacé
24/08/2018;45EH;A;1;0;
24/08/2018;45EH;B;2;0;
24/08/2018;47EH;A;2;0;
24/08/2018;47EH;B;3;0;Ecrasé + Déplacé
28/08/2018;9ER;A;6;6;Visibilité réduite (fleurs)
28/08/2018;9ER;B;3;30;
28/08/2018;11ER;A;3;3;
28/08/2018;11ER;B;3;3;
28/08/2018;13ER;A;4;0;
28/08/2018;13ER;B;3;2;
28/08/2018;16ER;A;5;6;
28/08/2018;16ER;B;3;3;
28/08/2018;20ER;A;5;18;Visibilité réduite (fleurs)
28/08/2018;20ER;B;4;72;
28/08/2018;23ER;A;3;6;
28/08/2018;23ER;B;1;2;
28/08/2018;24ER;A;5;9;Visibilité réduite (fleurs)
28/08/2018;24ER;B;4;18;
28/08/2018;25ER;A;6;6;Visibilité réduite (fleurs)
28/08/2018;25ER;B;3;30;
28/08/2018;34ER;A;0;0;
28/08/2018;34ER;B;0;0;
